"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00413289","2003-01","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","2",",0","1",",0","0",",0","0","1,0","0",",0","","","","","0","2,0","5","2,0","0","2,0","","","","","0","1,,0,31,+","0",",,0,31,+","5.8",",,0,13,","26.1","2,0,21,","","","","","","","","","","","","","","","","","6.3",",,,0","0",",,,0","","","13.16","2,,,0","",""
"USC00413289","2003-05","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","6",",0","5",",0","1",",0","0","1,0","0",",0","","","","","0","3,0","26","3,0","11","3,0","","","","","0","1,,0,31,+","0",",,0,31,+","27.2",",,0,21,","37.2","3,0,31,","","","","","","","","","","","","","","","","","61.3",",,,0","0",",,,0","","","29.78","3,,,0","",""
"USC00413289","2003-06","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","13",",0","9",",0","1",",0","","","0","4,0","","","","","","","","","","","","","","","","","0","4,,0,30,+","49.5",",,0,13,","","","","","","","","","","","","","","","","","","","115.1",",,,0","0","4,,,0","","","","","",""
"USC00413289","2003-08","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","8",",0","4",",0","0",",0","0","1,0","0","2,0","","","","","0","3,0","28","3,0","26","3,0","","","","","0","1,,0,31,+","0","2,,0,31,+","14.5",",,0,10,","43.3","3,0,08,","","","","","","","","","","","","","","","","","45.6",",,,0","0","2,,,0","","","37.62","3,,,0","",""
"USC00413289","2003-09","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","6",",0","4",",0","2",",0","0",",0","0","1,0","0","5,0","0","5,0","0","1,0","29","1,0","8","1,0","","","12.8","5,0,27,","0",",,0,30,+","0","1,,0,30,+","63.0",",,0,12,","36.7","1,0,11,","","","","","","","","","","","","","","","","","108.4",",,,0","0","1,,,0","23.75","6,0","30.12","1,,,0","17.38","5,,,0"
"USC00413289","2004-01","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","","","4",",0","3",",0","1",",0","0","1,0","0",",0","","","","","0","1,0","7","1,0","0","1,0","5","","","","0","1,,0,31,+","0",",,0,31,+","33.5",",,0,17,","27.2","1,0,03,","","","","","","","","","","","","","","","","","48.9",",,,0","0",",,,0","","","15.47","1,,,0","",""
"USC00413289","2005-03","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","8.2","1,0","5",",0","2",",0","1",",0","0","1,0","0",",0","0","1,0","2","1,0","0",",0","12",",0","0",",0","","","-1.7","1,0,14,","0","1,,0,31,+","0",",,0,31,+","33.8",",,0,27,","31.7",",0,13,","","","","","144.2",",0","","","","","","","","","","","59.3",",,,0","0",",,,0","13.74","1,0","20.15",",,,0","7.33","1,,,0"
"USC00413289","2005-04","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","44.3","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","1","1,0","","","3.9","1,0,02,","0",",,0,30,+","0",",,0,30,+","23.4",",,0,26,","32.8","1,0,29,","","","","","26.2","1,0","","","","","","","","","","","27.9",",,,0","0",",,,0","18.96","1,0","26.02","1,,,0","11.89","1,,,0"
"USC00413289","2005-05","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","141.8","1,0","7",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","5","1,0","","","5.6","1,0,01,","0",",,0,31,+","0",",,0,31,+","35.8",",,0,14,","37.8","1,0,23,","","","","","21.1","1,0","","","","","","","","","","","88.8",",,,0","0",",,,0","22.36","1,0","27.64","1,,,0","17.07","1,,,0"
"USC00413289","2005-07","32.8472","-97.4761","187.5","FORT WORTH NATURE CENTER, TX US","","","333.6","1,0","7",",0","4",",0","1",",0","","","0","1,0","0","1,0","0","1,0","0","1,0","30","1,0","28","1,0","","","18.9","1,0,31,","","","0","1,,0,31,+","48.5",",,0,08,","40.0","1,0,04,","0.0","0","","","0.0","1,0","","","","","","","","","","","74.9",",,,0","0","1,,,0","29.45","1,0","35.91","1,,,0","23.00","1,,,0"
