"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00155097","1934-07","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","8",",6","8",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,31,+","75.7",",,6,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.9",",,,6","0",",,,6","","","","","","","",""
"USC00155097","1934-08","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","167.7","3,6","12",",6","7",",6","3",",6","","","0",",6","0","3,6","0","3,6","0","1,6","30","1,6","8","1,6","","","","","10.0","3,6,30,","","","0",",,6,31,+","33.0",",,6,22,","33.9","1,6,09,","","","","","","","0.3","1,6","","","","","","","","","","","","","","","","","","","","","112.8",",,,6","0",",,,6","24.38","3,6","29.83","1,,,6","18.93","3,,,6","",""
"USC00155097","1934-09","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","78.3","1,6","12",",6","7",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","27","1,6","0","1,6","","","","","6.1","1,6,16,","","","","","31.5",",,6,28,","31.7","1,6,25,","","","","","","","23.3","1,6","","","","","","","","","","","","","","","","","","","","","117.8",",,,6","","","20.23","1,6","26.70","1,,,6","13.76","1,,,6","",""
"USC00155097","1934-10","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","8.8",",6","7",",6","4",",6","1",",6","","","","","0",",6","3",",6","0",",6","25",",6","0",",6","","","","","-1.7",",6,27,","","","","","29.5",",,6,17,","28.3",",6,21,+","","","","","","","111.6",",6","","","","","","","","","","","","","","","","","","","","","63.3",",,,6","","","15.02",",6","23.49",",,,6","6.55",",,,6","",""
"USC00155097","1934-11","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","1.4","1,6","8",",6","3",",6","0",",6","","","","","0","1,6","16","1,6","0",",6","5",",6","0",",6","","","","","-6.7","1,6,14,","","","","","14.0",",,6,21,","24.4",",6,21,","","","","","","","270.0",",6","","","","","","","","","","","","","","","","","","","","","30.6",",,,6","","","9.10","1,6","16.62",",,,6","1.57","1,,,6","",""
"USC00155097","1934-12","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","","","","","","","","","","","","","","","4","5,6","0","5,6","0","5,6","","","","","","","","","","","","","13.9","5,6,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78","5,,,6","","","",""
"USC00155097","1935-01","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","11",",6","8",",6","4",",6","","","1",",6","","","","","5","2,6","0","2,6","0","2,6","","","","","","","","","165",",,6,21,","88.6",",,6,19,","18.9","2,6,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241.7",",,,6","165",",,,6","","","7.97","2,,,6","","","",""
"USC00155097","1935-02","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","7",",6","6",",6","0",",6","0","2,6","0","2,6","","","","","2","3,6","1","3,6","0","3,6","","","","","","","0","2,T,6,26,+","0","2,,6,28,+","20.8",",,6,09,","22.2","3,6,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3",",,,6","0","2,,,6","","","8.75","3,,,6","","","",""
"USC00155097","1935-03","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","4.2","4,6","16",",6","12",",6","4",",6","0",",6","0",",6","0","3,6","8","3,6","0","1,6","9","1,6","0","1,6","","","","","-10.0","3,6,01,","0",",T,6,01,","0",",T,6,13,","68.6",",,6,31,","27.2","1,6,24,","","","","","","","182.8","1,6","","","","","","","","","","","","","","","","","","","","","262.3",",,,6","0",",T,,6","11.37","4,6","17.23","1,,,6","5.51","3,,,6","",""
"USC00155097","1935-04","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","9.5",",6","15",",6","9",",6","2",",6","0",",6","0",",6","0",",6","2",",6","0",",6","10",",6","0",",6","","","","","-1.1",",6,17,","0",",,6,30,+","0",",,6,30,+","37.8",",,6,07,","30.0",",6,27,","","","","","","","173.3",",6","","","","","","","","","","","","","","","","","","","","","158.7",",,,6","0",",,,6","12.87",",6","18.19",",,,6","7.55",",,,6","",""
