"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00253012","1917-08","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","73.6","1,6","11",",6","6",",6","1",",6","","","","","0",",6","0",",6","0","1,6","30","1,6","1","1,6","10.0",",6,29,+","","","","","38.9",",,6,06,","36.7","1,6,03,","","","5.6","1,6","102.8",",,,6","","","20.65","1,6","26.42","1,,,6","14.87",",,,6","332","2,,,6"
"USC00253012","1917-09","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","47.3","2,6","10",",6","4",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","21","1,6","1","1,6","2.8","1,6,26,","","","","","11.2",",,6,24,","33.9","1,6,02,","","","44.0","1,6","30.1",",,,6","","","18.26","2,6","24.25","1,,,6","12.26","1,,,6","339","2,,,6"
"USC00253012","1917-10","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","0.0","3,6","5",",6","3",",6","0",",6","","","0",",6","0",",6","20",",6","0","3,6","6","3,6","0","3,6","-8.3",",6,30,+","","","0",",T,6,29,+","9.7",",,6,25,","28.3","3,6,16,","","","324.3","3,6","18.9",",,,6","0",",T,,6","6.68","3,6","13.88","3,,,6","-0.52",",,,6","470",",,,6"
"USC00253012","1917-11","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","0.0",",6","4",",6","1",",6","0",",6","","","0",",6","0",",6","16",",6","0",",6","2",",6","0",",6","-7.2",",6,28,+","","","13",",,6,26,","2.5",",,6,10,","21.1",",6,09,+","","","372.7",",6","4.8",",,,6","13",",,,6","5.91",",6","12.74",",,,6","-0.93",",,,6","298","1,,,6"
"USC00253012","1917-12","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","0.0","3,6","3",",6","1",",6","0",",6","","","","","10","2,6","27","2,6","18","1,6","0","1,6","0","1,6","-29.4","2,6,29,","","","","","2.5",",,6,07,","11.7","1,6,01,","","","712.3","1,6","4.3",",,,6","","","-7.46","3,6","-2.33","1,,,6","-12.59","2,,,6","458","1,,,6"
"USC00253012","1918-01","41.316667","-95.95","327.7","FORT OMAHA, NE US","0.0","6","0.0","3,6","6",",6","2",",6","0",",6","","","","","14","3,6","28","3,6","22",",6","0",",6","0",",6","-29.4","3,6,11,","","","","","5.3",",,6,27,","10.6",",6,01,","","","828.5",",6","11.1",",,,6","","","-10.60","3,6","-4.03",",,,6","-17.18","3,,,6","",""
"USC00253012","1918-02","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","","","8",",6","4",",6","0",",6","5","2,6","4",",6","8","3,6","25","3,6","5","4,6","0","4,6","0","4,6","-23.3","3,6,21,+","152","2,,6,16,","76",",,6,16,","6.1",",,6,16,","17.2","4,6,22,","","","","","22.5",",,,6","203",",,,6","-2.87","7,6","6.20","4,,,6","-11.94","3,,,6","",""
"USC00253012","1918-03","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","0.0","1,6","1",",6","0",",6","0",",6","","","0",",6","0",",6","16",",6","0","1,6","6","1,6","0","1,6","-8.9",",6,06,","","","0",",T,6,14,","1.5",",,6,14,","26.7","1,6,17,","","","323.9","1,6","1.5",",,,6","0",",T,,6","7.54","1,6","15.78","1,,,6","-0.70",",,,6","",""
"USC00253012","1918-04","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","0.0","2,6","13",",6","6",",6","0",",6","","","0",",6","0",",6","10",",6","0","2,6","0","2,6","0","2,6","-2.2",",6,08,","","","10",",,6,20,+","16.3",",,6,05,","19.4","2,6,12,","","","291.4","2,6","51.6",",,,6","20",",,,6","7.86","2,6","13.61","2,,,6","2.11",",,,6","",""
"USC00253012","1918-05","41.316667","-95.95","327.7","FORT OMAHA, NE US","","","69.5",",6","10",",6","7",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","25",",6","2",",6","3.9",",6,14,+","","","0",",T,6,13,","48.5",",,6,27,","33.3",",6,08,","","","38.1",",6","108.8",",,,6","0",",T,,6","19.35",",6","26.09",",,,6","12.60",",,,6","",""
