"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00122825","1893-01","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","0.0","6","0.0",",6","11","2,6","9","2,6","1","2,6","","","","","10",",6","31",",6","20",",6","0",",6","0",",6","","","","","-26.1",",6,14,","","","","","27.2","2,,6,01,","9.4",",6,28,","","","","","","","","","","","","","827.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6","2,,,6","","","-8.37",",6","-3.54",",,,6","-13.20",",,,6","",""
"USC00122825","1893-02","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","0.0","6","0.0","2,6","","","","","","","","","","","0","1,6","26","1,6","6","1,6","0","1,6","0","1,6","","","","","-15.6","1,6,04,+","","","","","","","10.6","1,6,27,","","","","","","","","","","","","","512.4","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.49","2,6","3.53","1,,,6","-6.50","1,,,6","",""
"USC00122825","1893-04","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","5.3",",6","17",",6","16",",6","3",",6","","","3",",6","0",",6","2",",6","0",",6","5",",6","0",",6","","","","","-0.6",",6,15,+","","","102",",,6,19,","53.3",",,6,19,","27.2",",6,07,","","","","","","","","","","","","","241.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274.0",",,,6","178",",,,6","10.47",",6","15.67",",,,6","5.26",",,,6","",""
"USC00122825","1893-05","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","9.7",",6","11",",6","10",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","0",",6","","","","","3.3",",6,18,+","","","","","22.6",",,6,29,","28.3",",6,22,","","","","","","","","","","","","","118.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.6",",,,6","","","14.81",",6","20.59",",,,6","9.03",",,,6","",""
"USC00122825","1893-06","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","","","8",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","31.5",",,6,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9",",,,6","","","","","","","","","",""
"USC00122825","1893-07","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","73.2",",,6,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.6",",,,6","","","","","","","","","",""
"USC00122825","1893-08","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","91.8",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","2",",6","","","","","6.7",",6,29,","","","","","6.4",",,6,16,+","32.8",",6,10,","","","","","","","","","","","","","8.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6",",,,6","","","21.01",",6","28.19",",,,6","13.83",",,,6","",""
"USC00122825","1893-09","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","82.1","1,6","7",",6","5",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","21","1,6","2","1,6","","","","","0.6","1,6,25,","","","","","19.1",",,6,21,","32.8","1,6,07,","","","","","","","","","","","","","62.2","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4",",,,6","","","19.02","1,6","25.24","1,,,6","12.80","1,,,6","",""
"USC00122825","1893-10","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","15.7",",,6,26,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7",",,,6","","","","","","","","","",""
"USC00122825","1893-11","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","","","0.0",",6","6",",6","5",",6","1",",6","","","","","0",",6","17",",6","3",",6","0",",6","0",",6","","","","","-12.2",",6,24,+","","","","","59.2",",,6,27,","18.3",",6,02,","","","","","","","","","","","","","432.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.1",",,,6","","","3.93",",6","9.04",",,,6","-1.18",",,,6","",""
