"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003957","1998-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","2.8",",M","","","","","","","","","","","0",",M","18",",M","3",",M","4",",M","0",",M","-13.3",",M,10,","","","","","","","27.2",",M,25,","","","417.8",",M","","","","","4.95",",M","10.59",",,,M","-0.70",",,,M","","","","","","","","","",""
"USW00003957","1998-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.2",",W","","","6.1",",W","6",",W","3",",W","0",",W","","","","","0",",W","4",",W","0",",W","13",",W","0",",W","-1.7",",W,04,","","","","","14.2",",,W,27,","29.4",",W,25,+","","","187.5",",W","24.4",",,,W","","","12.29",",W","19.32",",,,W","5.25",",,,W","","","190",",W","190",",W","16.1",",W","21.0",",W"
"USW00003957","1998-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.3",",W","","","106.3",",W","9",",W","2",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","7",",W","4.4",",W,03,","","","","","14.7",",,W,15,","37.2",",W,30,","","","20.3",",W","25.6",",,,W","","","21.11",",W","27.94",",,,W","14.28",",,,W","","","80",",W","310",",W","21.5",",W","37.6",",W"
"USW00003957","1998-06","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.4",",W","","","236.2",",W","6",",W","3",",W","0",",W","","","","","0",",W","0",",W","0",",W","28",",W","22",",W","6.7",",W,06,","","","","","5.6",",,W,08,","42.2",",W,27,","","","11.4",",W","14.7",",,,W","","","25.83",",W","33.96",",,,W","17.69",",,,W","","","20",",W","20",",W","16.5",",W","19.7",",W"
"USW00003957","1998-10","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.5","3,W","","","19.2","2,W","10","2,W","6","2,W","1","2,W","","","","","0","2,W","0","2,W","0","2,W","19","2,W","0","2,W","1.7","2,W,22,","","","","","130.3","2,,W,31,","30.0","2,W,14,","","","90.6","2,W","208.8","2,,,W","","","15.87","2,W","22.11","2,,,W","9.63","2,,,W","","","230","3,W","210","2,W","13.4","3,W","18.3","2,W"
"USW00003957","1998-11","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","0.0",",W","10",",W","5",",W","1",",W","","","","","0",",W","5",",W","0",",W","3",",W","0",",W","-2.8",",W,20,+","","","","","26.7",",,W,01,","22.2",",W,18,","","","271.9",",W","49.9",",,,W","","","9.27",",W","15.21",",,,W","3.33",",,,W","","","","","310",",W","","","19.7",",W"
"USW00003957","1998-12","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.9",",W","","","0.0",",W","8",",W","2",",W","0",",W","","","","","1",",W","24",",W","6",",W","1",",W","0",",W","-18.3",",W,22,","","","","","4.6",",,W,03,","21.7",",W,01,","","","493.3",",W","10.6",",,,W","","","2.42",",W","8.69",",,,W","-3.85",",,,W","","","20",",W","20",",W","13.9",",W","17.0",",W"
"USW00003957","1999-01","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.6",",W","0.0","0","0.0",",W","6",",W","3",",W","2",",W","","","","","0",",W","26",",W","5",",W","0",",W","0",",W","-15.6",",W,03,","","","","","28.4",",,W,30,","18.9",",W,11,","","","534.2",",W","59.0",",,,W","","","1.10",",W","7.27",",,,W","-5.07",",,,W","","","330",",W","330",",W","17.4",",W","21.9",",W"
"USW00003957","1999-02","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.8",",W","0.0","0","0.0",",W","4",",W","1",",W","0",",W","","","","","0",",W","18",",W","0",",W","3",",W","0",",W","-5.6",",W,13,+","","","","","6.6",",,W,06,","25.6",",W,26,","","","301.7",",W","7.5",",,,W","","","7.56",",W","15.13",",,,W","-0.01",",,,W","","","340",",W","340",",W","20.1",",W","24.6",",W"
"USW00003957","1999-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.1",",X","0.0","0","0.0",",0","10",",0","5",",0","0",",0","","","1",",Z","0",",0","13",",0","0",",0","4",",0","0",",0","-6.7",",0,14,","","","203",",,Z,13,","23.6",",,0,12,","26.7",",0,01,","","","352.9",",0","70.2",",,,0","203",",,,Z","6.95",",0","12.80",",,,0","1.10",",,,0","","","360",",X","10",",X","17.0",",X","21.9",",X"
"USW00003957","1999-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.3",",X","5.9","0","5.9",",0","12",",0","8",",0","1",",0","","","0",",0","0",",0","2",",0","0",",0","13",",0","0",",0","-1.1",",0,18,","","","0",",,0,30,+","29.7",",,0,13,","30.6",",0,20,","","","160.7",",0","126.1",",,,0","0",",,,0","13.17",",0","19.37",",,,0","6.98",",,,0","","","330",",X","340",",X","21.9",",X","27.7",",X"
"USW00003957","1999-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.7",",X","61.6","0","55.7",",0","12",",0","8",",0","2",",0","","","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","3.9",",0,07,","","","0",",,0,31,+","47.8",",,0,11,","33.3",",0,16,","","","38.0",",0","142.3",",,,0","0",",,,0","18.90",",0","25.57",",,,0","12.24",",,,0","","","20",",X","200",",X","14.8",",X","20.1",",X"
"USW00003957","1999-06","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.5",",X","208.6","0","147.0",",0","13",",0","8",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","28",",0","5",",0","9.4",",0,17,","","","0",",,0,30,+","27.7",",,0,09,","36.1",",0,27,","","","7.5",",0","128.3",",,,0","0",",,,0","22.98",",0","28.41",",,,0","17.56",",,,0","","","10",",X","10",",X","21.0",",X","27.3",",X"
"USW00003957","1999-07","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.6",",X","515.3","0","306.7",",0","5",",0","3",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","13.9",",0,11,","","","0",",,0,31,+","48.3",",,0,01,","41.7",",0,30,","0.0","0","0.0",",0","63.8",",,,0","0",",,,0","28.23",",0","35.11",",,,0","21.34",",,,0","","","330",",X","330",",X","19.7",",X","23.2",",X"
"USW00003957","1999-08","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.9",",X","793.2","0","277.9",",0","9",",0","6",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","15.0",",0,19,+","","","0",",,0,31,+","18.8",",,0,22,","40.6",",0,26,","0.0","0","0.0",",0","56.4",",,,0","0",",,,0","27.30",",0","34.46",",,,0","20.13",",,,0","","","60",",X","50",",X","15.2",",X","17.9",",X"
"USW00003957","1999-09","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.1",",X","879.7","0","86.5",",0","9",",0","9",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","24",",0","7",",0","5.0",",0,22,","","","0",",,0,30,+","15.7",",,0,28,","36.1",",0,07,","44.7","0","44.7",",0","65.4",",,,0","0",",,,0","19.73",",0","26.16",",,,0","13.29",",,,0","","","20",",X","30",",X","19.7",",X","22.8",",X"
"USW00003957","1999-10","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.1",",X","895.5","0","15.8",",0","1",",0","1",",0","0",",0","","","0",",0","0",",0","4",",0","0",",0","18",",0","0",",0","-2.8",",0,18,","","","0",",,0,31,+","3.8",",,0,08,","31.7",",0,15,","169.5","0","124.8",",0","3.8",",,,0","0",",,,0","14.81",",0","23.27",",,,0","6.36",",,,0","","","30",",X","340",",X","14.3",",X","17.0",",X"
"USW00003957","1999-11","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.9",",X","896.6","0","1.1",",0","1",",0","0",",0","0",",0","","","0",",0","0",",0","12",",0","0",",0","17",",0","0",",0","-8.3",",0,25,","","","0",",,0,30,+","0.5",",,0,22,","28.9",",0,13,","386.6","0","217.1",",0","0.5",",,,0","0",",,,0","11.13",",0","20.41",",,,0","1.86",",,,0","","","10",",X","20",",X","14.3",",X","19.2",",X"
"USW00003957","1999-12","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.3",",X","","","","","5",",0","3",",0","0",",0","1",",0","0",",0","","","","","","","","","","","","","25",",,0,05,","15",",,0,05,","17.8",",,0,04,","","","","","","","26.5",",,,0","15",",,,0","","","","","","","","","340",",X","10",",X","17.0",",X","20.6",",X"
"USW00003957","2000-01","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.6",",X","0.0","0","0.0",",0","3",",0","1",",0","0",",0","","","2",",0","0",",0","29",",0","6",",0","0",",0","0",",0","-13.3",",0,29,","","","102",",,0,28,","13.5",",,0,28,","20.0",",0,19,","","","529.4",",0","15.6",",,,0","127",",,,0","1.25",",0","8.09",",,,0","-5.58",",,,0","","","340",",X","340",",X","17.9",",X","21.5",",X"
"USW00003957","2000-02","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.7",",X","0.0","0","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","19",",0","1",",0","3",",0","0",",0","-12.8",",0,02,","0",",,0,29,+","0",",,0,29,+","24.6",",,0,25,","23.9",",0,21,","","","362.9",",0","59.2",",,,0","0",",,,0","5.82",",0","13.18",",,,0","-1.53",",,,0","","","230",",X","320",",X","16.1",",X","19.2",",X"
"USW00003957","2000-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.5",",X","0.0","0","0.0",",0","15",",0","10",",0","3",",0","0",",0","0",",0","0",",0","10",",0","0",",0","6",",0","0",",0","-3.9",",0,16,","0",",,0,31,+","0",",,0,31,+","69.6",",,0,23,","26.1",",0,26,","","","290.8",",0","195.7",",,,0","0",",,,0","8.95",",0","15.05",",,,0","2.85",",,,0","","","20",",X","280",",X","17.4",",X","24.6",",X"
"USW00003957","2000-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.1",",X","4.5","0","4.5",",0","6",",0","5",",0","0",",0","","","0",",0","0",",0","2",",0","0",",0","15",",0","1",",0","-3.3",",0,04,","","","0",",,0,30,+","10.7",",,0,29,","33.9",",0,05,","","","159.1",",0","38.3",",,,0","0",",,,0","13.18",",0","20.53",",,,0","5.83",",,,0","","","340",",X","330",",X","16.5",",X","20.6",",X"
"USW00003957","2000-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.7",",X","102.6","0","98.1",",0","10",",0","5",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","8",",0","5.6",",0,13,","","","0",",,0,31,+","45.2",",,0,25,","38.9",",0,23,","","","30.0",",0","95.9",",,,0","0",",,,0","20.53",",0","27.74",",,,0","13.32",",,,0","","","350",",X","360",",X","15.6",",X","19.2",",X"
"USW00003957","2000-06","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.6",",X","254.1","0","151.5",",0","13",",0","8",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","9.4",",0,18,","","","0",",,0,30,+","24.4",",,0,13,","34.4",",0,20,+","","","3.3",",0","113.2",",,,0","0",",,,0","23.27",",0","29.26",",,,0","17.28",",,,0","","","200",",X","200",",X","14.3",",X","18.3",",X"
"USW00003957","2000-07","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.1",",X","489.7","0","235.6","3,0","10",",0","5",",0","1",",0","","","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","15","3,0","16.1","3,0,21,","","","0",",,0,31,+","26.4",",,0,16,","38.9","3,0,15,","0.0","0","0.0","3,0","100.2",",,,0","0",",,,0","26.75","3,0","33.53","3,,,0","19.97","3,,,0","","","50",",X","20",",X","19.2",",X","24.6",",X"
"USW00003957","2000-08","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.0",",X","843.0","0","353.3",",0","1",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","16.7",",0,01,","","","0",",,0,31,+","0.3",",,0,06,","41.7",",0,27,+","0.0","0","0.0",",0","0.3",",,,0","0",",,,0","29.73",",0","38.22",",,,0","21.24",",,,0","","","200",",X","210",",X","10.7",",X","13.9",",X"
"USW00003957","2000-09","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.9",",X","1036.8","0","193.8",",0","3",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","27",",0","19",",0","0.6",",0,26,","","","0",",,0,30,+","2.3",",,0,23,","41.7",",0,02,","35.3","0","35.3",",0","4.4",",,,0","0",",,,0","23.62",",0","32.41",",,,0","14.83",",,,0","","","10",",X","20",",X","14.8",",X","21.5",",X"
"USW00003957","2000-10","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.4",",X","1058.5","0","21.7",",0","11",",0","10",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","18",",0","3",",0","-6.7",",0,09,","0",",,0,31,+","0",",,0,31,+","79.5",",,0,24,","34.4",",0,01,","127.8","0","92.5",",0","209.5",",,,0","0",",,,0","16.05",",0","21.86",",,,0","10.24",",,,0","","","180",",X","180",",X","14.8",",X","21.9",",X"
"USW00003957","2000-11","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.9",",X","1058.5","0","0.0",",0","3",",0","3",",0","0",",0","","","0",",0","0",",0","23",",0","0",",0","1",",0","0",",0","-8.9",",0,17,","","","0",",,0,30,+","13.5",",,0,05,","21.7",",0,01,","549.6","0","421.8",",0","25.9",",,,0","0",",,,0","4.27",",0","10.42",",,,0","-1.88",",,,0","","","190",",X","210",",X","13.9",",X","17.0",",X"
"USW00003957","2000-12","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.5",",X","1058.5","0","0.0",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","31",",0","10",",0","0",",0","0",",0","-17.8",",0,14,","0",",T,0,13,","5",",,0,13,","7.6",",,0,31,","15.6",",0,07,","1215.1","0","665.5",",0","13.2",",,,0","5",",,,0","-3.14",",0","2.42",",,,0","-8.69",",,,0","","","350",",X","350",",X","19.2",",X","24.1",",X"
"USW00003957","2001-01","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.6",",X","0.0","0","0.0",",0","8",",0","2",",0","0",",0","2",",0","1",",0","0",",0","29",",0","6",",0","0",",0","0",",0","-13.9",",0,20,","25",",,0,29,+","25",",,0,28,","20.1",",,0,28,","16.1",",0,04,","1759.7","0","544.6",",0","32.6",",,,0","48",",,,0","0.76",",0","6.62",",,,0","-5.09",",,,0","","","310",",X","310",",X","14.3",",X","17.9",",X"
"USW00003957","2001-02","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.2",",X","0.0","0","0.0",",0","9",",0","4",",0","0",",0","1",",0","1",",0","0",",0","22",",0","7",",0","0",",0","0",",0","-13.9",",0,10,","51",",,0,09,","30",",,0,09,","24.6",",,0,23,","17.8",",0,07,+","2242.7","0","483.0",",0","69.6",",,,0","50",",,,0","1.08",",0","6.71",",,,0","-4.54",",,,0","","","240",",X","260",",X","14.8",",X","20.6",",X"
"USW00003957","2001-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","3.7",",X","0.0","0","0.0",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","17",",0","0",",0","2",",0","0",",0","-4.4",",0,01,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,15,","22.2",",0,21,","2620.5","0","377.8",",0","66.1",",,,0","0",",,,0","6.15",",0","11.89",",,,0","0.40",",,,0","","","350",",X","350",",X","17.9",",X","23.2",",X"
"USW00003957","2001-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","5.4",",X","15.1","0","15.1",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","23",",0","0",",0","0.0",",0,17,+","0",",,0,30,+","0",",,0,30,+","11.4",",,0,22,","30.6",",0,26,","2710.5","0","90.0",",0","20.4",",,,0","0",",,,0","15.84",",0","23.37",",,,0","8.30",",,,0","","","230",",X","170",",X","22.8",",X","30.8",",X"
"USW00003957","2001-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.3",",X","77.9","0","62.8",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","2",",0","3.3",",0,22,","0",",,0,31,+","0",",,0,31,+","51.8",",,0,04,","32.8",",0,16,","2739.1","0","28.6",",0","95.3",",,,0","0",",,,0","19.44",",0","26.38",",,,0","12.49",",,,0","0","4,W","360",",X","340",",X","19.2",",X","21.5",",X"
"USW00003957","2001-06","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","4.7",",X","260.7","0","182.8","1,0","5",",0","4",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","16","1,0","10.6","1,0,15,+","0",",,0,30,+","0",",,0,30,+","43.9",",,0,05,","36.1","1,0,16,+","2739.1","0","0.0","1,0","101.4",",,,0","0",",,,0","24.64","1,0","31.70","1,,,0","17.57","1,,,0","","","200",",X","190",",X","15.6",",X","19.2",",X"
