"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00116344","2001-11","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","4",",0","0",",0","0","1,0","0",",0","","","","","","","","","","","10","","","","","","0","1,T,0,27,","5",",,0,27,","19.3",",,0,24,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0",",,,0","5",",,,0","","","","","","","","","",""
"USC00116344","2001-12","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","7","","","","","","0",",T,0,29,+","5",",,0,29,+","20.8",",,0,17,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4",",,,0","10",",,,0","","","","","","","","","",""
"USC00116344","2002-01","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","6",",0","2",",0","1",",0","1",",0","1",",0","","","","","","","","","","","2","","1","","","","25",",,0,06,","25",",,0,06,","37.3",",,0,31,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7",",,,0","38",",,,0","","","","","","","","","",""
"USC00116344","2002-02","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","5",",0","1",",0","3",",0","2",",0","","","","","","","","","","","5","","1","","","","152",",,0,27,+","152",",,0,26,","48.3",",,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5",",,,0","177",",,,0","","","","","","","","","",""
"USC00116344","2002-03","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","8",",0","0",",0","5",",0","2",",0","","","","","","","","","","","11","","1","","","","102",",,0,27,","107",",,0,27,","17.5",",,0,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.9",",,,0","168",",,,0","","","","","","","","","",""
"USC00116344","2002-04","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","8","","2","","","","0",",,0,30,+","0",",T,0,04,+","39.6",",,0,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.4",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2002-05","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","17",",0","10",",0","1",",0","0",",0","0",",0","","","","","","","","","","","4","","","","","","0",",,0,31,+","0",",,0,31,+","34.3",",,0,13,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2002-06","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","16","","9","","","","0",",,0,30,+","0",",,0,30,+","38.4",",,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.6",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2002-07","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","7",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","15","","5","","","","0",",,0,31,+","0",",,0,31,+","24.4",",,0,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2002-08","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","6",",0","3",",0","0",",0","0",",0","","","","","","","","","","","17","","5","","","","0",",,0,31,+","0",",,0,31,+","58.7",",,0,23,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174.1",",,,0","0",",,,0","","","","","","","","","",""
