"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USW00014743","1893-01","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","","0.0",",6","11",",6","6",",6","0",",6","","","5",",6","20",",6","31",",6","26",",6","0",",6","0",",6","","","","","-27.8",",6,11,","","","109",",,6,19,","10.9",",,6,19,","7.2",",6,29,","","","","","","","","","962.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","42.7",",,,6","340",",,,6","-12.71",",6","-7.89",",,,6","-17.53",",,,6","",""
"USW00014743","1893-02","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","","0.0","1,6","10",",6","5",",6","0",",6","","","3",",6","9","1,6","27","1,6","21",",6","0",",6","0",",6","","","","","-26.7","1,6,05,","","","160",",,6,19,","16.0",",,6,19,","6.7",",6,14,","","","","","","","","","757.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","49.3",",,,6","414",",,,6","-9.58","1,6","-4.01",",,,6","-15.15","1,,,6","",""
"USW00014743","1893-03","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","","0.0",",6","6",",6","2",",6","0",",6","","","0",",6","0",",6","27",",6","9",",6","0",",6","0",",6","","","","","-17.2",",6,06,","","","20",",,6,30,","15.2",",,6,11,","16.1",",6,24,","","","","","","","","","640.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","23.4",",,,6","26",",,,6","-2.32",",6","2.62",",,,6","-7.25",",,,6","",""
"USW00014743","1893-04","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","","0.0",",6","8",",6","8",",6","0",",6","","","2",",6","0",",6","18",",6","1",",6","0",",6","0",",6","","","","","-9.4",",6,02,","","","193",",,6,15,","19.3",",,6,15,","20.6",",6,08,","","","","","","","","","421.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","58.2",",,,6","236",",,,6","4.28",",6","9.67",",,,6","-1.12",",,,6","",""
"USW00014743","1893-05","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","8.4","","8.4",",6","9",",6","7",",6","2",",6","","","","","0",",6","0",",6","0",",6","12",",6","2",",6","","","","","2.2",",6,26,+","","","","","75.4",",,6,05,","32.2",",6,23,+","","","","","","","","","178.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","183.0",",,,6","","","12.85",",6","18.80",",,,6","6.91",",,,6","",""
"USW00014743","1893-06","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","93.6","","85.2",",6","9",",6","8",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","2",",6","","","","","10.6",",6,24,","","","","","23.9",",,6,06,","32.2",",6,21,+","","","","","","","","","5.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","77.5",",,,6","","","21.00",",6","27.25",",,,6","14.75",",,,6","",""
"USW00014743","1894-04","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","0.0",",6","8",",6","5",",6","0",",6","","","0",",6","0",",6","15",",6","0",",6","5",",6","0",",6","","","","","-10.6",",6,03,","","","0",",T,6,01,","21.6",",,6,21,","23.9",",6,20,","","","","","","","","","339.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","40.4",",,,6","0",",T,,6","7.02",",6","13.97",",,,6","0.06",",,,6","",""
"USW00014743","1894-05","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","2.5",",6","11",",6","10",",6","0",",6","","","","","0",",6","3",",6","0",",6","14",",6","0",",6","","","","","-3.3",",6,15,","","","","","20.1",",,6,24,","27.8",",6,01,","","","","","","","","","154.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","104.5",",,,6","","","13.42",",6","20.17",",,,6","6.67",",,,6","",""
"USW00014743","1894-06","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","91.8",",6","9",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","3",",6","","","","","1.1",",6,06,","","","","","25.1",",,6,27,","33.9",",6,24,","","","","","","","","","53.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","55.7",",,,6","","","19.60",",6","26.37",",,,6","12.84",",,,6","",""
"USW00014743","1894-07","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","92.5",",6","9",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","7",",6","","","","","8.9",",6,10,+","","","","","25.4",",,6,24,","35.6",",6,20,+","","","13.9","6","","","","","13.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","74.2",",,,6","","","20.87",",6","28.04",",,,6","13.70",",,,6","",""
"USW00014743","1894-08","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","20.9",",6","5",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","2.2",",6,29,","","","","","10.2",",,6,09,","31.7",",6,14,","","","63.4","6","","","","","49.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","21.7",",,,6","","","17.41",",6","24.75",",,,6","10.06",",,,6","",""
"USW00014743","1894-09","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","17.3",",6","8",",6","7",",6","1",",6","","","","","0",",6","2",",6","0",",6","22",",6","0",",6","","","","","-1.7",",6,26,","","","","","31.8",",,6,20,","31.7",",6,04,","","","145.1","6","","","","","81.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","85.4",",,,6","","","16.19",",6","23.25",",,,6","9.12",",,,6","",""
"USW00014743","1894-11","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","0.0",",6","","","","","","","","","2",",6","1",",6","26",",6","9",",6","0",",6","0",",6","","","","","-18.9",",6,19,","","","74",",,6,27,","","","15.0",",6,03,","","","","","","","","","561.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","112",",,,6","-0.37",",6","4.01",",,,6","-4.75",",,,6","",""
"USW00014743","1894-12","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","","","0.0","1,6","4",",6","4",",6","0",",6","","","2",",6","3","1,6","29","1,6","13",",6","0",",6","0",",6","","","","","-38.3","1,6,29,","","","229",",,6,27,","22.9",",,6,27,","15.0",",6,16,","","","","","","","","","674.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","59.7",",,,6","267",",,,6","-4.31","1,6","0.66",",,,6","-9.27","1,,,6","",""
"USW00014743","1895-01","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","6","0.0","3,6","7","1,6","7","1,6","0","1,6","","","7",",6","9","2,6","29","2,6","21","2,6","0","2,6","0","2,6","","","","","-31.1","2,6,05,","","","152",",,6,26,","19.1","1,,6,10,","7.2","2,6,11,","","","","","","","","","762.0","2,6","","","","","","","","","","","","","","","","","","","","","","","","","58.4","1,,,6","418",",,,6","-8.82","3,6","-2.92","2,,,6","-14.73","2,,,6","",""
"USW00014743","1895-02","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","6","0.0",",6","5","1,6","5","1,6","1","1,6","","","5",",6","11",",6","27",",6","19",",6","0",",6","0",",6","","","","","-33.9",",6,06,","","","305",",,6,07,","30.5","1,,6,07,","6.1",",6,18,","","","","","","","","","795.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","64.8","1,,,6","648",",,,6","-10.09",",6","-4.13",",,,6","-16.06",",,,6","",""
"USW00014743","1895-03","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","6","0.0",",6","6","1,6","6","1,6","0","1,6","","","","","6",",6","31",",6","15",",6","0",",6","0",",6","","","","","-23.9",",6,12,","","","","","22.9","1,,6,01,","10.0",",6,13,","","","","","","","","","762.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","50.8","1,,,6","","","-6.27",",6","0.26",",,,6","-12.80",",,,6","",""
"USW00014743","1895-04","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","0.0","6","0.0","2,6","5",",6","4",",6","1",",6","","","","","0","2,6","14","2,6","1",",6","2",",6","0",",6","","","","","-10.0","2,6,03,","","","","","30.5",",,6,09,","22.8",",6,29,","","","","","","","","","365.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","62.8",",,,6","","","5.04","2,6","10.91",",,,6","-0.83","2,,,6","",""
"USW00014743","1895-05","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","35.3","6","35.3","1,6","4",",6","4",",6","0",",6","","","","","0","1,6","6","1,6","0","1,6","17","1,6","2","1,6","","","","","-3.3","1,6,18,","","","","","12.4",",,6,19,","33.9","1,6,07,","","","","","","","","","147.5","1,6","","","","","","","","","","","","","","","","","","","","","","","","","42.3",",,,6","","","14.59","1,6","22.28","1,,,6","6.91","1,,,6","",""
"USW00014743","1895-06","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","122.2","6","86.9",",6","7",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","4",",6","","","","","5.0",",6,07,","","","","","25.9",",,6,21,","34.4",",6,26,","","","","","","","","","13.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","59.4",",,,6","","","20.78",",6","28.64",",,,6","12.92",",,,6","",""
"USW00014743","1895-07","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","182.8","6","60.6",",6","5",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","4",",6","","","","","4.4",",6,02,","","","","","25.7",",,6,30,","33.3",",6,20,+","","","30.9","6","","","","","30.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","75.2",",,,6","","","19.29",",6","26.60",",,,6","11.98",",,,6","",""
"USW00014743","1895-08","44.5772","-75.1097","136.6","CANTON 4 SE, NY US","225.3","6","42.5",",6","8",",6","8",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","1",",6","","","","","1.7",",6,22,","","","","","43.9",",,6,07,","32.2",",6,06,","","","58.1","6","","","","","27.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","130.5",",,,6","","","18.83",",6","25.69",",,,6","11.96",",,,6","",""
