"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001145419","1971-05","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","0",",C","","","","","","","","","","","","","0",",,C,31,+","","","","","56.1","1,a,,C","0",",,,C","","","","","",""
"CA001145419","1971-06","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","0",",C","","","","","","","","","","","","","0",",,C,30,+","","","","","","","0",",,,C","","","","","",""
"CA001145419","1971-07","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","3","4,C","1","4,C","0","4,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","2.8","4,,C,05,","","","31.3","1,a,,C","0",",,,C","","","","","",""
"CA001145419","1971-08","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","2","2,C","2","2,C","0","2,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","8.1","2,,C,30,","","","19.1",",a,,C","0",",,,C","","","","","",""
"CA001145419","1971-09","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","9","4,C","2","4,C","0","4,C","0",",C","","","","","","","","","","","","","0",",,C,30,+","4.6","4,,C,10,","","","36.3",",a,,C","0",",,,C","","","","","",""
"CA001145419","1971-10","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","7","4,C","4","4,C","0","4,C","0","1,C","","","","","","","","","","","","","0","1,T,C,26,","11.4","4,,C,18,","","","42.9","1,a,,C","0","1,T,,C","","","","","",""
"CA001145419","1971-11","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","0",",C","","","","","","","","","","","","","15",",,C,01,","","","","","57.5",",a,,C","89",",a,,C","","","","","",""
"CA001145419","1971-12","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","125.4",",a,,C","1254",",a,,C","","","","","",""
"CA001145419","1972-01","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","13","2,C","11","2,C","0","2,C","11",",C","","","","","","","","","","","","","137",",,C,10,","13.7","2,,C,10,","","","64.3",",a,,C","643",",a,,C","","","","","",""
"CA001145419","1972-02","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","8","5,C","6","5,C","0","5,C","3",",C","","","","","","","","","","","","","76",",,C,26,","12.7","5,,C,19,","","","54.2",",a,,C","222",",a,,C","","","","","",""
"CA001145419","1972-03","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","3",",C","","","","","","","","","","","","","76",",,C,24,","","","","","75.7",",a,,C","196",",,,C","","","","","",""
"CA001145419","1972-04","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","11",",C","6",",C","0",",C","1",",C","","","","","","","","","","","","","64",",,C,09,","21.1",",,C,05,","","","58.8",",,,C","64",",,,C","","","","","",""
"CA001145419","1972-05","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","7","3,C","5","3,C","0","3,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","13.0","3,,C,15,","","","51.3",",a,,C","0",",,,C","","","","","",""
"CA001145419","1972-06","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","0",",C","","","","","","","","","","","","","0",",,C,30,+","","","","","69.7",",a,,C","0",",,,C","","","","","",""
"CA001145419","1972-07","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","8","2,C","6","2,C","0","2,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","17.5","2,,C,11,","","","73.9",",a,,C","0",",,,C","","","","","",""
"CA001145419","1972-08","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","1","5,C","1","5,C","0","5,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","12.4","5,,C,15,","","","31.2",",a,,C","0",",,,C","","","","","",""
"CA001145419","1972-09","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","8","4,C","7","4,C","0","4,C","0",",C","","","","","","","","","","","","","0",",,C,30,+","23.4","4,,C,08,","","","84.2",",a,,C","0",",,,C","","","","","",""
"CA001145419","1972-10","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","3","3,C","2","3,C","0","3,C","0",",C","0","4,C","16","4,C","0","3,C","0","3,C","0","3,C","-6.7","4,C,31,","0",",,C,31,+","8.1","3,,C,09,","20.0","3,C,03,","17.3",",a,,C","0",",,,C","5.40","6,C","11.00","3,,,C","-0.20","4,,,C"
"CA001145419","1972-11","49.9","-118.0833","463.0","NEEDLES WHATSHAN BCHPA, BC CA","","","","","","","0",",C","","","","","","","","","","","","","0",",,C,30,+","","","","","","","0",",,,C","","","","","",""
