"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00118324","1994-05","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","27.2","2,0","9",",0","5",",0","0",",0","","","0",",0","0","2,0","4","2,0","0",",0","19",",0","2",",0","1","","2","","0.0","2,0,27,+","","","0",",T,0,01,","14.0",",,0,01,","33.3",",0,31,","","","","","","","","","142.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4",",,,0","0",",T,,0","14.38","2,0","22.42",",,,0","6.34","2,,,0","",""
"USC00118324","1994-06","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","127.9",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","12",",0","","","4","","3.9",",0,03,","0",",,0,30,+","0",",,0,30,+","152.1",",,0,24,","37.2",",0,19,+","","","","","","","","","25.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191.2",",,,0","0",",,,0","21.75",",0","29.38",",,,0","14.13",",,,0","",""
"USC00118324","1994-07","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","124.5","2,0","11",",0","9",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","5",",0","1","","7","","9.4","2,0,29,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,20,","35.6",",0,07,+","4.5","0","","","","","","","4.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8",",,,0","0",",,,0","22.49","2,0","29.05",",,,0","15.94","2,,,0","",""
"USC00118324","1994-08","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","71.7","2,0","12",",0","8",",0","2",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","27",",0","3",",0","6","","5","","6.1","2,0,06,","0",",,0,31,+","0",",,0,31,+","31.5",",,0,13,","32.8",",0,26,","19.7","0","","","","","","","15.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.0",",,,0","0",",,,0","20.35","2,0","27.03",",,,0","13.66","2,,,0","",""
"USC00118324","1994-09","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","51.5","2,0","9",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","22",",0","4",",0","7","","1","","3.9","2,0,29,","0",",,0,30,+","0",",,0,30,+","8.9",",,0,24,","33.3",",0,15,","66.9","0","","","","","","","47.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9",",,,0","0",",,,0","18.62","2,0","25.21",",,,0","12.03","2,,,0","",""
"USC00118324","1994-10","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","3.8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","9",",0","0",",0","3","","","","-1.7",",0,27,","0",",,0,31,+","0",",,0,31,+","21.1",",,0,31,","28.3",",0,01,","269.0","0","","","","","","","202.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9",",,,0","0",",,,0","11.94",",0","18.69",",,,0","5.18",",,,0","",""
"USC00118324","1994-11","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","0.0",",0","9",",0","9",",0","3",",0","0","1,0","0",",0","0",",0","18",",0","0",",0","0",",0","0",",0","1","","2","","-6.7",",0,30,","0","1,,0,30,+","8",",,0,01,","42.7",",,0,01,","20.0",",0,04,","641.4","0","","","","","","","372.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.7",",,,0","8",",,,0","5.92",",0","11.28",",,,0","0.56",",,,0","",""
"USC00118324","1994-12","42.02556","-88.17833","249.6","STREAMWOOD, IL US","","","0.0","1,0","9",",0","4",",0","1",",0","17",",0","1",",0","0","1,0","27","1,0","5",",0","0",",0","0",",0","2","","","","-13.3","1,0,12,","178",",,0,09,+","178",",,0,07,","28.4",",,0,07,","13.3",",0,03,","1185.3","0","","","","","","","543.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0",",,,0","205",",,,0","0.19","1,0","4.68",",,,0","-4.30","1,,,0","",""
"USC00118324","1995-01","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","12",",0","6",",0","1",",0","25",",0","8",",0","3",",0","31",",0","18",",0","0",",0","0",",0","3","","","","-20.0",",0,05,","152",",,0,28,+","69",",,0,23,","43.9",",,0,14,","9.4",",0,13,","1925.7","0","","","","","","","740.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7",",,,0","330",",,,0","-5.55",",0","-1.25",",,,0","-9.85",",,,0","",""
"USC00118324","1995-02","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","7",",0","1",",0","0",",0","19",",0","0",",0","4",",0","28",",0","8",",0","0",",0","0",",0","1","","","","-21.1",",0,12,","127",",,0,01,","10",",,0,04,","13.2",",,0,27,","13.9",",0,19,","2555.8","0","","","","","","","630.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5",",,,0","18",",,,0","-4.17",",0","1.26",",,,0","-9.60",",,,0","",""
