"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093108","1945-04","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","26.3","4,X","1",",X","0",",X","0",",X","","","0",",X","0","4,X","3","4,X","0","3,X","14","3,X","0","3,X","","","","","-2.8","4,X,03,","","","0",",T,X,09,","0.3",",,X,08,","31.7","3,X,30,","","","132.1","3,X","0.3",",,,X","0",",T,,X","14.33","4,X","21.19","3,,,X","7.46","4,,,X"
"USW00093108","1945-05","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","46.7",",X","1",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","22",",X","3",",X","","","","","7.8",",X,19,","","","0",",,X,31,+","0.5",",,X,29,","32.8",",X,02,+","","","44.5",",X","0.5",",,,X","0",",,,X","18.40",",X","23.58",",,,X","13.23",",,,X"
"USW00093108","1945-06","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","177.7",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","29",",X","11",",X","","","","","11.7",",X,23,","","","0",",,X,30,+","0.0",",T,X,04,","38.3",",X,20,","","","5.0",",X","0.0",",T,,X","0",",,,X","24.09",",X","30.01",",,,X","18.17",",,,X"
"USW00093108","1945-07","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","383.3",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","31",",X","31",",X","","","","","18.3",",X,09,","","","0",",,X,31,+","0.0",",T,X,10,+","41.1",",X,26,","0.0","X","0.0",",X","0.0",",T,,X","0",",,,X","30.70",",X","36.74",",,,X","24.66",",,,X"
"USW00093108","1945-09","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","154.3","3,X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0","3,X","25","3,X","14","3,X","","","1","","8.9",",X,23,","","","0",",,X,30,+","0.0",",T,X,08,","36.7","3,X,01,","","","8.6","3,X","0.0",",T,,X","0",",,,X","24.02","3,X","30.92","3,,,X","17.13",",,,X"
"USW00093108","1945-10","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","24.5","3,X","3","1,X","3","1,X","1","1,X","","","0","3,X","0","3,X","0","3,X","0","2,X","21","2,X","1","2,X","1","","1","","4.4","3,X,24,+","","","0","3,,X,31,+","81.3","1,,X,29,","32.8","2,X,03,","","","46.3","2,X","116.6","1,,,X","0","3,,,X","17.59","3,X","23.70","2,,,X","11.47","3,,,X"
"USW00093108","1945-11","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","0.0","3,X","2",",X","0",",X","0",",X","","","0",",X","0","3,X","3","3,X","0","1,X","3","1,X","0","1,X","","","","","-1.7","3,X,09,","","","0",",T,X,11,","0.3",",,X,11,+","26.1","1,X,04,+","","","212.1","1,X","0.6",",,,X","0",",T,,X","10.28","3,X","16.41","1,,,X","4.16","3,,,X"
"USW00093108","1945-12","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","0.0",",X","4",",X","3",",X","2",",X","","","0","2,X","0",",X","14",",X","0",",X","0",",X","0",",X","2","","","","-5.6",",X,14,","","","0","2,,X,31,+","62.7",",,X,22,","19.4",",X,30,","","","350.2",",X","112.0",",,,X","0","2,,,X","7.04",",X","12.32",",,,X","1.76",",,,X"
"USW00093108","1946-01","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","0.0","X","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","16",",X","0",",X","1",",X","0",",X","","","","","-4.4",",X,31,","","","0",",T,X,05,","0.0",",T,X,05,+","23.3",",X,24,","","","343.6",",X","0.0",",T,,X","0",",T,,X","7.25",",X","13.98",",,,X","0.52",",,,X"
"USW00093108","1946-02","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","0.0","X","0.0",",X","1",",X","1",",X","0",",X","","","0",",X","0",",X","13",",X","0",",X","2",",X","0",",X","","","","","-3.9",",X,12,+","","","0",",T,X,11,+","13.7",",,X,03,","22.2",",X,23,","","","294.0",",X","13.7",",,,X","0",",T,,X","7.83",",X","13.94",",,,X","1.73",",,,X"
