"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00040176","1948-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0","1,0","0","1,0","0","1,0","","","","","","","","","","","","","0.0","1,,0,31,+","","","","","","","0.0","1,,,0","","","","","","","",""
"USC00040176","1948-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","1.8",",,0,03,","","","","","","","1.8",",,,0","","","","","","","",""
"USC00040176","1948-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1948-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","2",",0","2",",0","0",",0","","","","","","","","","","","","","13.2",",,0,17,","","","","","","","17.3",",,,0","","","","","","","",""
"USC00040176","1948-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1948-12","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","2",",0","0",",0","0",",0","","","","","","","","","","","","","2.3",",,0,16,","","","","","","","3.3",",,,0","","","","","","","",""
"USC00040176","1949-01","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","4","2,0","2","2,0","0","2,0","","","","","","","","","","","","","17.5","2,,0,12,","","","","","","","50.1",",a,,0","","","","","","","",""
"USC00040176","1949-02","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,28,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-03","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","1.5",",,0,31,","","","","","","","1.5",",,,0","","","","","","","",""
"USC00040176","1949-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","9.7",",,0,22,","","","","","","","9.7",",,,0","","","","","","","",""
"USC00040176","1949-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","0.3",",,0,26,","","","","","","","0.3",",,,0","","","","","","","",""
"USC00040176","1949-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1949-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","2.3",",,0,10,","","","","","","","2.3",",,,0","","","","","","","",""
"USC00040176","1950-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1950-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1950-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0","2,0","0","2,0","0","2,0","","","","","","","","","","","","","0.0","2,,0,31,+","","","","","","","0.0","2,,,0","","","","","","","",""
"USC00040176","1950-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1950-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","10.7",",,0,07,","","","","","","","10.7",",,,0","","","","","","","",""
"USC00040176","1950-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1950-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1951-01","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","4",",0","2",",0","0",",0","","","","","","","","","","","","","8.1",",,0,11,","","","","","","","13.4",",,,0","","","","","","","",""
"USC00040176","1951-02","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,28,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1951-03","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1951-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1951-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","5.8",",,0,14,","","","","","","","5.8",",,,0","","","","","","","",""
"USC00040176","1951-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","",""
"USC00040176","1951-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","2.5",",,0,22,","","","","","","","2.5",",,,0","","","","","","","",""
"USC00040176","1951-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","3",",0","3",",0","0",",0","","","","","","","","","","","","","11.2",",,0,20,","","","","","","","23.1",",,,0","","","","","","","",""
"USC00040176","1951-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","8.4",",,0,28,","","","","","","","8.4",",,,0","","","","","","","",""
"USC00040176","2010-02","34.5591","-115.7441","197.5","AMBOY, CA US","","","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","3.3",",0,24,","12.2",",,0,10,","25.6",",0,18,+","","","123.6",",0","20.6",",,,0","13.92",",0","20.61",",,,0","7.22",",,,0","",""
"USC00040176","2010-03","34.5591","-115.7441","197.5","AMBOY, CA US","","","9.0","1,0","1",",0","1",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","1","1,0","3.9","1,0,13,","15.7",",,0,08,","32.2","1,0,31,","","","84.7","1,0","15.7",",,,0","15.81","1,0","23.01","1,,,0","8.61","1,,,0","",""
"USC00040176","2010-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","70.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","7.2",",0,24,+","0.0",",,0,30,+","36.7",",0,28,","","","25.3",",0","0.0",",,,0","19.83",",0","28.15",",,,0","11.51",",,,0","",""
"USC00040176","2010-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","140.1","3,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","28","3,0","14","3,0","5.0",",0,24,","0.0",",,0,31,+","37.8","3,0,31,+","","","0.8","3,0","0.0",",,,0","23.31","3,0","32.53","3,,,0","14.09",",,,0","",""
"USC00040176","2010-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","0",",0","30",",0","30",",0","","","0.0",",,0,30,+","45.0",",0,29,","","","","","0.0",",,,0","","","40.70",",,,0","","","",""
"USC00040176","2010-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","0","3,0","28","3,0","28","3,0","","","0.0",",,0,31,+","47.2","3,0,21,+","","","","","0.0",",,,0","","","44.65","3,,,0","","","",""
"USC00040176","2010-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","493.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","19.4",",0,30,","0.0",",,0,31,+","46.1",",0,25,","","","0.0",",0","0.0",",,,0","34.26",",0","42.23",",,,0","26.29",",,,0","",""
"USC00040176","2010-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","293.5","4,0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0","3,0","27","3,0","26","3,0","16.1","4,0,19,","0.0",",,0,30,+","45.6","3,0,06,+","","","0.0","3,0","0.0",",,,0","29.67","4,0","39.68","3,,,0","19.67","4,,,0","",""
"USC00040176","2010-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","162.3",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","7.8",",0,28,","6.9",",,0,21,","41.7",",0,01,","","","2.5",",0","13.5",",,,0","23.49",",0","31.16",",,,0","15.81",",,,0","",""
"USC00040176","2010-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","26.9","1,0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","20","1,0","3","1,0","-5.0","1,0,30,","0.0",",,0,30,+","33.9","1,0,05,+","","","107.2","1,0","0.0",",,,0","15.56","1,0","23.98","1,,,0","7.14","1,,,0","",""
"USC00040176","2010-12","34.5591","-115.7441","197.5","AMBOY, CA US","","","0.0","4,0","5","2,0","3","2,0","0","2,0","0","1,0","4","1,0","0","4,0","14","4,0","0","4,0","-2.2","1,0,04,","20.3","2,,0,22,","26.7","4,0,13,","","","153.5","4,0","45.0",",a,,0","12.71","4,0","19.98","4,,,0","5.43","1,,,0","",""
"USC00040176","2011-01","34.5591","-115.7441","197.5","AMBOY, CA US","0.8","7","0.8","4,7","0","2,7","0","2,7","0","2,7","0","2,7","3","2,7","0","4,7","15","4,7","0","4,7","-2.8","2,7,01,","0.0","2,,7,31,+","27.2","4,7,19,+","","","179.4","4,7","0.0","2,,,7","11.83","4,7","19.91","4,,,7","3.74","2,,,7","16.5","4,7"
"USC00040176","2011-02","34.5591","-115.7441","197.5","AMBOY, CA US","0.8","7","0.0","2,7","2","1,7","1","1,7","0","1,7","0","2,7","4","2,7","0","2,7","10","2,7","0","2,7","-4.4","2,7,03,","3.0","1,,7,19,","25.6","2,7,07,","","","155.0","2,7","3.5","1,,,7","12.37","2,7","20.42","2,,,7","4.33","2,,,7","17.9","3,7"
"USC00040176","2011-03","34.5591","-115.7441","197.5","AMBOY, CA US","37.3","7","36.5","2,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","2,7","25","2,7","1","2,7","6.1","1,7,23,","0.0","1,T,7,21,","32.2","2,7,31,","","","41.6","2,7","0.0","1,T,,7","18.16","2,7","25.79","2,,,7","10.54","1,,,7","23.2","3,7"
"USC00040176","2011-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1","3,7","0","3,7","0","3,7","","","","","","","","","","","","","1.0","3,,7,07,","","","","","","","1.0","3,,,7","","","","","","","17.4","4,7"
"USC00040176","2011-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","222.1","3,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","3,7","28","3,7","18","3,7","12.2","1,7,03,","0.0","1,,7,31,+","40.0","3,7,29,+","","","0.0","3,7","0.0","1,,,7","26.14","3,7","33.86","3,,,7","18.41","1,,,7","17.9","2,7"
"USC00040176","2011-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","394.0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","28","2,7","14.4","2,7,01,","0.0","2,,7,30,+","47.2","2,7,25,+","","","0.0","2,7","0.0","2,,,7","32.40","2,7","40.46","2,,,7","24.35","2,,,7","20.1","2,7"
"USC00040176","2011-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","506.0","2,7","2","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","2,7","29","2,7","29","2,7","23.9","1,7,18,","5.6","1,,7,09,","47.2","2,7,03,","0.0","7","0.0","2,7","6.4","1,,,7","35.75","2,7","43.24","2,,,7","28.25","1,,,7","21.0","3,7"
"USC00040176","2011-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","504.8","3,7","","","","","","","0","3,7","0","3,7","0","3,7","28","3,7","28","3,7","23.9","3,7,11,","","","47.8","3,7,26,+","0.0","7","0.0","3,7","","","36.36","3,7","44.36","3,,,7","28.36","3,,,7","19.7","2,7"
"USC00040176","2011-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","3",",7","2",",7","0",",7","","","","","","","","","","","","","10.7",",,7,11,","","","","","","","13.5",",,,7","","","","","","","17.9","1,7"
