"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00368361","1996-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","45.2","1,0","11",",0","5",",0","0",",0","0","1,0","0",",0","0","1,0","0","1,0","0",",0","31",",0","0",",0","18","","3","","8.9","1,0,31,+","0","1,,0,31,+","0",",,0,31,+","15.2",",,0,21,","31.7",",0,08,","","","","","","","16.1",",0","","","","","","","","","","","","","","","","","","","","","37.2",",,,0","0",",,,0","19.40","1,0","25.94",",,,0","12.85","1,,,0","","","",""
"USC00368361","1996-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","13.0",",0","20",",0","12",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","13","","3","","5.0",",0,20,","0",",,0,30,+","0",",,0,30,+","36.6",",,0,23,","27.2",",0,06,+","","","","","","","98.6",",0","","","","","","","","","","","","","","","","","","","","","228.8",",,,0","0",",,,0","15.48",",0","20.57",",,,0","10.39",",,,0","","","",""
"USC00368361","1996-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","","","14",",0","7",",0","2",",0","0",",0","0",",0","","","","","0",",0","5",",0","0",",0","3","","","","","","0",",,0,31,+","0",",,0,31,+","36.6",",,0,19,","23.3",",0,02,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.8",",,,0","0",",,,0","","","15.88",",,,0","","","","","",""
"USC00368361","1996-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","0.0",",0","24",",0","10",",0","1",",0","","","8","1,0","0",",0","24",",0","8",",0","1",",0","0",",0","1","","1","","-16.7",",0,16,+","","","300","1,,0,12,","25.9",",,0,08,","21.1",",0,08,","","","","","","","523.6",",0","","","","","","","","","","","","","","","","","","","","","120.2",",,,0","793","1,,,0","0.88",",0","4.45",",,,0","-2.69",",,,0","","","",""
"USC00368361","1996-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","0.0",",0","19","1,0","10","1,0","0","1,0","7",",0","4",",0","0",",0","25",",0","5",",0","0",",0","0",",0","7","","","","-13.3",",0,20,","127",",,0,25,+","135",",,0,25,","19.8","1,,0,24,","16.1",",0,02,","","","","","","","544.7",",0","","","","","","","","","","","","","","","","","","","","","84.6","1,,,0","341",",,,0","0.76",",0","4.25",",,,0","-2.72",",,,0","","","",""
"USC00368361","1997-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","20",",0","8",",0","0",",0","20",",0","9",",0","6",",0","28",",0","17","1,0","0","1,0","0","1,0","4","","","","-21.1",",0,19,","127",",,0,26,","127",",,0,26,+","12.2",",,0,25,","17.8","1,0,05,","","","","","","","720.8","1,0","","","","","","","","","","","","","","","","","","","","","66.6",",,,0","653",",,,0","-5.66","1,0","-0.70","1,,,0","-10.61",",,,0","","","",""
"USC00368361","1997-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","22",",0","5",",0","1",",0","10","2,0","6","1,0","2","1,0","25","1,0","13","1,0","0","1,0","0","1,0","3","","1","","-24.4","1,0,14,+","102","2,,0,18,+","102","1,,0,17,","48.0",",,0,27,","20.6","1,0,22,","","","","","","","538.1","1,0","","","","","","","","","","","","","","","","","","","","","100.4",",,,0","384","1,,,0","-1.60","1,0","3.36","1,,,0","-6.55","1,,,0","","","",""
"USC00368361","1997-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","18",",0","10",",0","0",",0","6",",0","3",",0","0",",0","25",",0","4",",0","0",",0","0",",0","6","","","","-11.1",",0,24,","127",",,0,07,","114",",,0,06,","21.8",",,0,14,","20.6",",0,29,","","","","","","","502.0",",0","","","","","","","","","","","","","","","","","","","","","115.6",",,,0","243",",,,0","2.14",",0","7.41",",,,0","-3.13",",,,0","","","",""
"USC00368361","1997-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","14",",0","3",",0","0",",0","4",",0","1",",0","0",",0","21",",0","2",",0","1",",0","0",",0","6","","","","-8.9",",0,11,+","76",",,0,09,","64",",,0,09,","21.6",",,0,13,","23.3",",0,07,","","","","","","","400.6",",0","","","","","","","","","","","","","","","","","","","","","47.7",",,,0","77",",,,0","4.98",",0","10.97",",,,0","-1.01",",,,0","","","",""
"USC00368361","1997-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","3,0","20",",0","16",",0","0",",0","0",",0","0",",0","0","3,0","8","3,0","0",",0","5",",0","0",",0","4","","5","","-2.2","3,0,07,","0",",,0,31,+","0",",,0,31,+","24.1",",,0,20,","23.3",",0,25,+","","","","","","","262.9",",0","","","","","","","","","","","","","","","","","","","","","134.5",",,,0","0",",,,0","9.14","3,0","15.44",",,,0","2.84","3,,,0","","","",""
