"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00115772","1995-04","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","3",",0","0",",0","1","","6","","-7.8",",0,04,","0",",T,0,12,","0",",T,0,12,","24.9",",,0,11,","23.9",",0,16,","","","  10.0",",,,0,3,2","  10.0",",,,0,5,2","305.1",",0","  17.2",",,,0,3,2","  12.2",",,,0,5,2","   2.8",",,,0,3,2","   4.4",",,,0,5,2","   5.0",",,,0,3,2","   5.6",",,,0,5,2","   6.2",",,,0,3,2","   7.3",",,,0,5,2","  12.0",",,,0,3,2","   9.2",",,,0,5,2","136.1",",,,0","0",",T,,0","8.16",",0","14.37",",,,0","1.96",",,,0"
"USC00115772","1995-05","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","3.9",",0","17",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","3","","12","","3.9",",0,02,","0",",,0,31,+","0",",,0,31,+","39.1",",,0,08,","27.2",",0,17,","","","  15.6",",,,0,3,2","  15.6",",,,0,5,2","121.9",",0","  26.1",",,,0,3,2","  21.1",",,,0,5,2","   8.3",",,,0,3,2","   9.4",",,,0,5,2","  11.7",",,,0,3,2","  10.6",",,,0,5,2","  12.4",",,,0,3,2","  13.4",",,,0,5,2","  18.0",",,,0,3,2","  15.8",",,,0,5,2","196.1",",,,0","0",",,,0","14.52",",0","19.46",",,,0","9.59",",,,0"
"USC00115772","1995-06","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","116.4",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","4","","9","","11.1",",0,13,+","0",",,0,30,+","0",",,0,30,+","36.8",",,0,03,","33.9",",0,21,","","","  24.4",",,,0,3,2","  23.3",",,,0,5,2","8.1",",0","  32.8",",,,0,3,2","  27.2",",,,0,5,2","  16.1",",,,0,3,2","  17.2",",,,0,5,2","  20.0",",,,0,3,2","  19.4",",,,0,5,2","  20.1",",,,0,3,2","  20.1",",,,0,5,2","  27.0",",,,0,3,2","  23.0",",,,0,5,2","137.6",",,,0","0",",,,0","21.94",",0","27.81",",,,0","16.07",",,,0"
"USC00115772","1995-07","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","162.8",",0","7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","1","","7","","10.0",",0,02,","0",",,0,31,+","0",",,0,31,+","68.6",",,0,04,","36.1",",0,14,","2.3","0","  27.8",",,,0,3,2","  26.7",",,,0,5,2","2.3",",0","  35.0",",,,0,3,2","  30.0",",,,0,5,2","  18.3",",,,0,3,2","  20.0",",,,0,5,2","  24.4",",,,0,3,2","  22.2",",,,0,5,2","  23.1",",,,0,3,2","  23.0",",,,0,5,2","  30.0",",,,0,3,2","  26.5",",,,0,5,2","118.6",",,,0","0",",,,0","23.51",",0","29.50",",,,0","17.53",",,,0"
"USC00115772","1995-08","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","219.7",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","4","","6","","13.3",",0,22,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,01,","33.9",",0,19,","2.3","0","  28.9",",,,0,3,2","  26.7",",,,0,5,2","0.0",",0","  35.6",",,,0,3,2","  30.6",",,,0,5,2","  22.8",",,,0,3,2","  23.3",",,,0,5,2","  25.6",",,,0,3,2","  25.6",",,,0,5,2","  24.9",",,,0,3,2","  25.0",",,,0,5,2","  31.8",",,,0,3,2","  27.7",",,,0,5,2","95.4",",,,0","0",",,,0","25.42",",0","30.88",",,,0","19.96",",,,0"
"USC00115772","1995-09","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","31.9",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","1","","","","-1.7",",0,23,","0",",,0,30,+","0",",,0,30,+","17.8",",,0,07,","30.6",",0,06,","94.7","0","  23.9",",,,0,3,2","  23.9",",,,0,5,2","92.4",",0","  32.2",",,,0,3,2","  26.7",",,,0,5,2","   7.8",",,,0,3,2","  11.1",",,,0,5,2","  13.3",",,,0,3,2","  13.9",",,,0,5,2","  16.5",",,,0,3,2","  17.2",",,,0,5,2","  23.0",",,,0,3,2","  20.0",",,,0,5,2","51.3",",,,0","0",",,,0","16.32",",0","22.78",",,,0","9.85",",,,0"
"USC00115772","1995-10","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","6.4",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","14",",0","0",",0","2","","1","","-1.1",",0,29,+","0",",,0,31,+","0",",,0,31,+","20.3",",,0,01,","28.3",",0,13,+","293.7","0","  16.1",",,,0,3,2","  16.7",",,,0,5,2","199.0",",0","  21.7",",,,0,3,2","  18.3",",,,0,5,2","   5.6",",,,0,3,2","   7.8",",,,0,5,2","   7.8",",,,0,3,2","   8.9",",,,0,5,2","  10.3",",,,0,3,2","  11.8",",,,0,5,2","  16.1",",,,0,3,2","  14.0",",,,0,5,2","68.4",",,,0","0",",,,0","12.12",",0","19.05",",,,0","5.19",",,,0"
"USC00115772","1995-11","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","27",",0","3",",0","0",",0","0",",0","","","1","","-12.2",",0,29,+","0",",T,0,30,+","15",",,0,11,","33.3",",,0,11,","17.2",",0,27,","834.0","0","   9.4",",,,0,3,2","   9.4",",,,0,5,2","540.3",",0","  12.8",",,,0,3,2","  11.7",",,,0,5,2","   0.0",",,,0,3,2","   1.7",",,,0,5,2","   1.1",",,,0,3,2","   1.7",",,,0,5,2","   2.3",",,,0,3,2","   3.7",",,,0,5,2","   4.9",",,,0,3,2","   5.0",",,,0,5,2","70.8",",,,0","28",",,,0","0.32",",0","5.56",",,,0","-4.92",",,,0"
"USC00115772","1995-12","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","","","0.0",",0","5",",0","1",",0","0",",0","6",",0","2",",0","3",",0","31",",0","14",",0","0",",0","0",",0","","","","","-20.6",",0,09,","25",",,0,31,+","33",",,0,31,","2.5",",,0,31,","16.1",",0,03,","1502.6","0","   2.8",",,,0,3,2","   3.9",",,,0,5,2","668.6",",0","   7.8",",,,0,3,2","   5.6",",,,0,5,2","  -2.2",",,,0,3,2","   0.0",",,,0,5,2","  -1.1",",,,0,3,2","   0.0",",,,0,5,2","   0.3",",,,0,3,2","   0.9",",,,0,5,2","   1.3",",,,0,3,2","   1.5",",,,0,5,2","5.2",",,,0","78",",,,0","-3.23",",0","1.58",",,,0","-8.05",",,,0"
"USC00115772","1996-01","40.9362","-90.7197","220.7","MONMOUTH 4 NW, IL US","0.0","0","0.0",",0","9",",0","4",",0","1",",0","16",",0","4",",0","9",",0","31",",0","17",",0","0",",0","0",",0","3","","","","-28.3",",0,31,","76",",,0,31,+","56",",,0,27,","33.0",",,0,18,","15.6",",0,18,","2277.4","0","   0.0",",,,0,3,2","   0.0",",,,0,5,2","774.8",",0","   2.8",",,,0,3,2","   0.6",",,,0,5,2","  -2.2",",,,0,3,2","  -5.0",",,,0,5,2","  -1.1",",,,0,3,2","  -2.8",",,,0,5,2","  -0.9",",,,0,3,2","  -0.8",",,,0,5,2","  -0.3",",,,0,3,2","  -0.4",",,,0,5,2","66.9",",,,0","198",",,,0","-6.66",",0","-1.63",",,,0","-11.69",",,,0"
