"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013701","1919-06","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","110.7",",6","7",",6","5",",6","2",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","1",",6","","","","","8.3",",6,30,","","","0",",,6,30,+","62.7",",,6,26,","33.3",",6,03,","","","5.8",",6","108.5",",,,6","0",",,,6","21.83",",6","26.70",",,,6","16.96",",,,6","","","",""
"USW00013701","1919-07","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","182.2",",6","14",",6","11",",6","3",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","7",",6","","","","","12.2",",6,01,","","","0",",,6,31,+","65.5",",,6,18,","35.6",",6,28,","0.0","6","0.0",",6","240.2",",,,6","0",",,,6","24.21",",6","28.89",",,,6","19.54",",,,6","","","",""
"USW00013701","1919-08","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","136.4",",6","12",",6","9",",6","2",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","1",",6","","","","","12.2",",6,29,","","","0",",,6,31,+","75.4",",,6,13,","33.3",",6,24,","0.0","6","0.0",",6","201.3",",,,6","0",",,,6","22.73",",6","27.40",",,,6","18.06",",,,6","","","",""
"USW00013701","1919-09","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","62.3",",6","3",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","28",",6","1",",6","","","","","8.9",",6,28,","","","0",",,6,30,+","38.6",",,6,23,","34.4",",6,08,","14.7","6","14.7",",6","48.0",",,,6","0",",,,6","19.92",",6","25.06",",,,6","14.78",",,,6","","","",""
"USW00013701","1919-10","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","36.1",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","13",",6","1",",6","","","","","4.4",",6,19,+","","","0",",,6,31,+","17.3",",,6,23,","33.3",",6,03,","106.1","6","91.4",",6","65.8",",,,6","0",",,,6","16.55",",6","20.93",",,,6","12.17",",,,6","","","",""
"USW00013701","1919-11","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","1.4",",6","12",",6","9",",6","1",",6","","","0",",6","0",",6","11",",6","0",",6","1",",6","0",",6","","","","","-3.3",",6,21,","","","0",",,6,30,+","26.7",",,6,01,","22.8",",6,01,","436.5","6","330.4",",6","92.0",",,,6","0",",,,6","7.37",",6","12.22",",,,6","2.52",",,,6","","","",""
"USW00013701","1919-12","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","","","0.0",",6","13",",6","9",",6","0",",6","","","2",",6","0",",6","27",",6","9",",6","0",",6","0",",6","","","","","-15.0",",6,18,","","","76",",,6,19,","25.1",",,6,10,","18.9",",6,07,","1042.0","6","605.5",",6","84.1",",,,6","134",",,,6","-1.20",",6","3.51",",,,6","-5.91",",,,6","","","",""
"USW00013701","1920-01","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","0.0","6","0.0",",6","7",",6","5",",6","0",",6","","","","","0",",6","30",",6","16",",6","0",",6","0",",6","","","","","-14.4",",6,19,+","","","","","15.5",",,6,24,","12.2",",6,30,","1729.4","6","687.4",",6","45.7",",,,6","","","-3.84",",6","0.19",",,,6","-7.87",",,,6","","","",""
"USW00013701","1920-02","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","0.0","6","0.0",",6","","","","","","","","","","","0",",6","27",",6","5",",6","0",",6","0",",6","","","","","-16.1",",6,01,","","","","","","","9.4",",6,18,","2295.5","6","566.1",",6","","","","","-1.19",",6","2.60",",,,6","-4.98",",,,6","","","",""
"USW00013701","1920-03","39.4716","-76.1697","17.4","ABERDEEN PHILLIPS FIELD, MD US","","","0.0","6","0.0",",6","8",",6","7",",6","1",",6","","","2",",6","0",",6","17",",6","2",",6","2",",6","0",",6","","","","","-11.7",",6,08,","","","76",",,6,06,","35.1",",,6,05,","23.3",",6,31,","2698.4","6","402.9",",6","85.7",",,,6","114",",,,6","5.34",",6","11.38",",,,6","-0.71",",,,6","","","",""
